Cote,Titre,Auteur,Lieu,Edition,Annee,Nb_pages,Matiere,Inventaire,Auteur_Pairs,Auteur_Names,language,notice_key,is_duplicate_row,is_duplicate_inventory,is_duplicate_notice
011/07,فهرس المخطوطات العربية التركية والفارسية والبوسنوية,"فهيم علي, ناميتاك",لندن - سرايفو,مكتبة الغازي منسروبك,1998,,ببليوغرافيا,27943,"[('فهيم علي, ناميتاك', 'إعداد')]","فهيم علي, ناميتاك",ara,"فهرس المخطوطات العربية التركية والفارسية والبوسنوية|فهيم علي, ناميتاك|1998",False,False,False
02/02,مقدمة إلى نظم المكتبة المبنية على الحاسوب,"أ. تيد, لوسي",عمان,المنظمة العربية للعلوم الإدارية,1985,465,علم المكتبات,17847,"[('أ. تيد, لوسي', 'Auteur')]","أ. تيد, لوسي",ara,"مقدمة إلى نظم المكتبة المبنية على الحاسوب|أ. تيد, لوسي|1985",False,False,False
3/43,عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.,أ. سليكيو كارل,القاهرة,الدار الدولية للنشر والتوزيع,1999,348,العلوم الاجتماعية.,29267,"[('أ. سليكيو كارل', 'Auteur')]",أ. سليكيو كارل,ara,عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.|أ. سليكيو كارل|1999,False,False,False
32/83,التحليل السياسي الحديث,"أ.د, آل روبرت",القاهرة,مركز الأهرام للترجمة والنشر,1993,204,العلوم السياسية,28505,"[('أ.د, آل روبرت', 'Auteur')]","أ.د, آل روبرت",ara,"التحليل السياسي الحديث|أ.د, آل روبرت|1993",False,False,False
330.114/01,جدل حول التقدم,"أباظة, ابراهيم دسوقي",البيضاء,دار الكتاب,1975,30,الاقتصاد السياسي,11531,"[('أباظة, ابراهيم دسوقي', 'Auteur')]","أباظة, ابراهيم دسوقي",ara,"جدل حول التقدم|أباظة, ابراهيم دسوقي|1975",False,False,False
297.911/06,الإقتصاد الإسلامي : مقوماته ومناهجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973,159,الإسلام والعلوم الإقتصادية,587,"[('أباظه, إبراهيم دسوقي', 'Auteur')]","أباظه, إبراهيم دسوقي",ara,"الإقتصاد الإسلامي : مقوماته ومناهجه|أباظه, إبراهيم دسوقي|1973",False,False,False
297.911/06 مكرر,الإقتصاد الإسلامي : مقوماته ومنهاجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973,159,الإسلام والعلوم الإقتصادية,10677,"[('أباظه, إبراهيم دسوقي', 'Auteur')]","أباظه, إبراهيم دسوقي",ara,"الإقتصاد الإسلامي : مقوماته ومنهاجه|أباظه, إبراهيم دسوقي|1973",False,False,False
611/01,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980,443,علم التشريح,6108,"[('إبراهيم الدوري, قيس', 'Auteur')]","إبراهيم الدوري, قيس",ara,"علم التشريح لطلاب كليات التربية الرياضية|إبراهيم الدوري, قيس|1980",False,False,True
611/01 مكرر,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980,443,علم التشريح,6109,"[('إبراهيم الدوري, قيس', 'Auteur')]","إبراهيم الدوري, قيس",ara,"علم التشريح لطلاب كليات التربية الرياضية|إبراهيم الدوري, قيس|1980",False,False,True
93:297/28,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964,581,التاريخ الاسلامي,511,"[('إبراهيم حسن, حسن', 'Auteur')]","إبراهيم حسن, حسن",ara,"تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1|إبراهيم حسن, حسن|1964",False,False,False
